id,betweenProb,insideProb,communityWeightSdev,betweenWeightSdev,weighType,threshold,order,minDegree,maxDegree,meanDegree,sdevDegree,size,components,density,graphWeight,minWeight,maxWeight,meanWeight,sdevWeight,numClusters,minCsize,maxCsize,meanCsize,sdevCsize,unbalancingIndex,modularity,louvainModularity,dunnIndex,daviesBouldinIndex,purity,giniIndex,entropy,randIndex,adjustedRandIndex,fowlkesMallowsIndex,jaccardCoefficient,normalizedGamma
101,0.9000,0.2000,0.1000,0.1000,MEAN,0.0000,1000,7,33,20.0000,4.3445,10000,1,0.0200,4972.0341,0.0100,0.8593,0.4972,0.1041,10,97.0000,107.0000,100.0000,3.7712,3.5777,-9672.4914,0.0134,5.1797,0.3013,1.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000
101,0.9000,0.2000,0.1000,0.1000,MEAN,0.0000,1000,7,33,20.0000,4.3445,10000,1,0.0200,4972.0341,0.0100,0.8593,0.4972,0.1041,14,62.0000,82.0000,71.4286,5.7608,5.5512,-9944.0681,0.0000,0.0000,0.0000,0.1170,0.9193,3.7093,0.8440,0.0006,0.0844,0.0434,0.0006
101,0.9000,0.2000,0.1000,0.1000,MEAN,0.0200,1000,7,33,19.9980,4.3450,9999,1,0.0200,4972.0241,0.0730,0.8593,0.4973,0.1040,14,58.0000,86.0000,71.4286,7.2929,7.0276,-9944.0681,0.0000,0.0000,0.0000,0.1240,0.9195,3.7167,0.8437,0.0001,0.0841,0.0433,0.0001
101,0.9000,0.2000,0.1000,0.1000,MEAN,0.0400,1000,7,33,19.9980,4.3450,9999,1,0.0200,4972.0241,0.0730,0.8593,0.4973,0.1040,13,65.0000,106.0000,76.9231,10.8663,10.4400,-9944.0681,0.0000,0.0000,0.0000,0.1370,0.9103,3.5758,0.8393,0.0037,0.0911,0.0473,0.0038
101,0.9000,0.2000,0.1000,0.1000,MEAN,0.0600,1000,7,33,19.9980,4.3450,9999,1,0.0200,4972.0241,0.0730,0.8593,0.4973,0.1040,14,65.0000,81.0000,71.4286,5.3739,5.1784,-9944.0681,0.0000,0.0000,0.0000,0.1270,0.9178,3.6962,0.8444,0.0026,0.0863,0.0444,0.0026
101,0.9000,0.2000,0.1000,0.1000,MEAN,0.0800,1000,7,33,19.9940,4.3459,9997,1,0.0200,4971.8717,0.0978,0.8593,0.4973,0.1038,14,60.0000,81.0000,71.4286,5.8797,5.6659,-9944.0681,0.0000,0.0000,0.0000,0.1170,0.9196,3.7141,0.8439,0.0003,0.0842,0.0433,0.0003
101,0.9000,0.2000,0.1000,0.1000,MEAN,0.1000,1000,7,33,19.9900,4.3482,9995,1,0.0200,4971.6745,0.1118,0.8593,0.4974,0.1037,13,68.0000,83.0000,76.9231,4.5545,4.3758,-9944.0681,0.0000,0.0000,0.0000,0.1200,0.9154,3.6264,0.8395,-0.0012,0.0859,0.0445,-0.0012
101,0.9000,0.2000,0.1000,0.1000,MEAN,0.1200,1000,7,33,19.9860,4.3480,9993,1,0.0200,4971.4430,0.1224,0.8593,0.4975,0.1035,13,68.0000,89.0000,76.9231,5.8660,5.6359,-9944.0681,0.0000,0.0000,0.0000,0.1300,0.9141,3.6153,0.8396,0.0003,0.0874,0.0453,0.0003
101,0.9000,0.2000,0.1000,0.1000,MEAN,0.1400,1000,7,33,19.9780,4.3454,9989,1,0.0200,4970.9387,0.1438,0.8593,0.4976,0.1033,14,65.0000,84.0000,71.4286,5.2582,5.0669,-9944.0681,0.0000,0.0000,0.0000,0.1250,0.9184,3.7030,0.8442,0.0017,0.0855,0.0440,0.0017
101,0.9000,0.2000,0.1000,0.1000,MEAN,0.1600,1000,7,33,19.9680,4.3416,9984,1,0.0200,4970.1929,0.1614,0.8593,0.4978,0.1030,13,38.0000,108.0000,76.9231,14.9134,14.3284,-9943.4790,0.0000,194.2292,0.0045,0.1340,0.9103,3.5719,0.8381,0.0022,0.0904,0.0470,0.0022
