Bank Code,Party being financed,Source of data entry / upload,Invoice #_Raw,Supplier Name,Buyer Name,Invoice Date,Submission Date_Cleansed,Invoice Amount,Currency_Cleansed,UTC Status,Risk Score
,,,9778,company_0,buyer,,,0,,,
,,,6321,company_0,buyer,,,0,,,
,,,0653,company_0,buyer,,,0,,,
,,,9902,company_0,buyer,,,0,,,
,,,8506,company_0,buyer,,,0,,,
,,,4867,company_0,buyer,,,0,,,
,,,6784,company_0,buyer,,,0,,,
,,,0876,company_0,buyer,,,0,,,
,,,2307,company_0,buyer,,,0,,,
,,,2000,company_0,buyer,,,0,,,
,,,RLXRHP/89-53/M,company_1,buyer,,,0,,,
,,,LYURDI/17-30/E,company_1,buyer,,,0,,,
,,,INONQD/37-87/J,company_1,buyer,,,0,,,
,,,FQZTHC/54-66/K,company_1,buyer,,,0,,,
,,,AXCPQY/53-73/Y,company_1,buyer,,,0,,,
,,,SDVKIU/93-52/Y,company_1,buyer,,,0,,,
,,,HARWRW/97-76/N,company_1,buyer,,,0,,,
,,,EWYDUC/53-74/M,company_1,buyer,,,0,,,
,,,CIJOED/46-67/N,company_1,buyer,,,0,,,
,,,FUUJVQ/84-66/A,company_1,buyer,,,0,,,
,,,44441789,company_2,buyer,,,0,,,
,,,44444500,company_2,buyer,,,0,,,
,,,44441624,company_2,buyer,,,0,,,
,,,44443931,company_2,buyer,,,0,,,
,,,44445269,company_2,buyer,,,0,,,
,,,44440572,company_2,buyer,,,0,,,
,,,44442415,company_2,buyer,,,0,,,
,,,44449078,company_2,buyer,,,0,,,
,,,44440038,company_2,buyer,,,0,,,
,,,44448983,company_2,buyer,,,0,,,
,,,4216/61,company_3,buyer,,,0,,,
,,,0116/64,company_3,buyer,,,0,,,
,,,1570/82,company_3,buyer,,,0,,,
,,,0460/15,company_3,buyer,,,0,,,
,,,6813/71,company_3,buyer,,,0,,,
,,,4296/90,company_3,buyer,,,0,,,
,,,4016/80,company_3,buyer,,,0,,,
,,,8158/10,company_3,buyer,,,0,,,
,,,3676/73,company_3,buyer,,,0,,,
,,,2688/57,company_3,buyer,,,0,,,
,,,9357-T,company_4,buyer,,,0,,,
,,,3747-Y,company_4,buyer,,,0,,,
,,,8203-T,company_4,buyer,,,0,,,
,,,9051-A,company_4,buyer,,,0,,,
,,,9109-L,company_4,buyer,,,0,,,
,,,1936-K,company_4,buyer,,,0,,,
,,,2323-Z,company_4,buyer,,,0,,,
,,,2125-Z,company_4,buyer,,,0,,,
,,,5675-K,company_4,buyer,,,0,,,
,,,1757-Y,company_4,buyer,,,0,,,
,,,A4830,company_5,buyer,,,0,,,
,,,A4170,company_5,buyer,,,0,,,
,,,A1635,company_5,buyer,,,0,,,
,,,A5536,company_5,buyer,,,0,,,
,,,A8215,company_5,buyer,,,0,,,
,,,A7599,company_5,buyer,,,0,,,
,,,A1666,company_5,buyer,,,0,,,
,,,A0160,company_5,buyer,,,0,,,
,,,A5233,company_5,buyer,,,0,,,
,,,A2929,company_5,buyer,,,0,,,
,,,SQP/UV-0469/8-02,company_6,buyer,,,0,,,
,,,MGX/SZ-2908/5-94,company_6,buyer,,,0,,,
,,,DVB/UO-4865/6-81,company_6,buyer,,,0,,,
,,,JKF/ZN-9122/2-24,company_6,buyer,,,0,,,
,,,NIZ/KV-2419/7-41,company_6,buyer,,,0,,,
,,,LGS/IB-2768/0-61,company_6,buyer,,,0,,,
,,,ANV/TV-7584/5-95,company_6,buyer,,,0,,,
,,,UQH/EY-4198/8-45,company_6,buyer,,,0,,,
,,,QQW/FW-8563/5-11,company_6,buyer,,,0,,,
,,,TYM/IM-9058/9-50,company_6,buyer,,,0,,,
,,,KCCCI390111-455,company_7,buyer,,,0,,,
,,,KCCCI392067-056,company_7,buyer,,,0,,,
,,,KCCCI805056-039,company_7,buyer,,,0,,,
,,,KCCCI010985-078,company_7,buyer,,,0,,,
,,,KCCCI510024-610,company_7,buyer,,,0,,,
,,,KCCCI917908-154,company_7,buyer,,,0,,,
,,,KCCCI909983-516,company_7,buyer,,,0,,,
,,,KCCCI440867-908,company_7,buyer,,,0,,,
,,,KCCCI308380-817,company_7,buyer,,,0,,,
,,,KCCCI581643-460,company_7,buyer,,,0,,,
,,,S161,company_8,buyer,,,0,,,
,,,O212,company_8,buyer,,,0,,,
,,,C165,company_8,buyer,,,0,,,
,,,B763,company_8,buyer,,,0,,,
,,,I379,company_8,buyer,,,0,,,
,,,B055,company_8,buyer,,,0,,,
,,,S176,company_8,buyer,,,0,,,
,,,X888,company_8,buyer,,,0,,,
,,,F124,company_8,buyer,,,0,,,
,,,N346,company_8,buyer,,,0,,,
,,,NHY5119,company_9,buyer,,,0,,,
,,,RZL0107,company_9,buyer,,,0,,,
,,,JEE9420,company_9,buyer,,,0,,,
,,,NXF7230,company_9,buyer,,,0,,,
,,,HJL6472,company_9,buyer,,,0,,,
,,,JOR6207,company_9,buyer,,,0,,,
,,,XYR2776,company_9,buyer,,,0,,,
,,,BZD9477,company_9,buyer,,,0,,,
,,,GRO7181,company_9,buyer,,,0,,,
,,,CJF6833,company_9,buyer,,,0,,,
,,,K3255,company_10,buyer,,,0,,,
,,,IINGI0430,company_10,buyer,,,0,,,
,,,ZGT8022,company_10,buyer,,,0,,,
,,,YBWYK9607,company_10,buyer,,,0,,,
,,,NXFEJ3603,company_10,buyer,,,0,,,
,,,KDK5835,company_10,buyer,,,0,,,
,,,MCTBIBI8467,company_10,buyer,,,0,,,
,,,ZMNK8736,company_10,buyer,,,0,,,
,,,RCLC5248,company_10,buyer,,,0,,,
,,,ATCXXDC4968,company_10,buyer,,,0,,,
,,,XF0124VQATIK,company_11,buyer,,,0,,,
,,,WKWXI1165AXCQYGDO,company_11,buyer,,,0,,,
,,,M9643DLHTPAX,company_11,buyer,,,0,,,
,,,CGLRCSXTA9127S,company_11,buyer,,,0,,,
,,,VJM1304EVGXXZ,company_11,buyer,,,0,,,
