id,longitude,latitude
4096,52.779697,23.965069
4097,53.728797,23.080508
4,56.139760,24.787176
2054,53.197789,23.498777
8,55.784223,24.150573
9,55.610496,24.355077
4106,54.689100,24.285953
11,54.752611,23.277729
4111,55.002252,23.702408
2067,52.472293,23.758448
19,54.196779,23.279535
21,55.102578,22.723989
2069,54.084341,23.917348
2070,56.366516,25.250530
2074,54.797313,24.187948
26,55.924805,24.138009
27,55.823635,25.293531
29,52.837702,23.096721
2077,54.348077,23.115265
2080,53.480679,23.419296
4130,52.601265,23.659258
36,52.582068,23.512768
4133,54.378465,23.125240
41,54.907157,23.223061
4139,54.860421,24.706348
4141,52.105385,23.499046
46,54.665300,24.633454
4144,54.059102,23.662522
48,52.361355,23.527323
2096,54.194246,23.707679
4145,54.931218,24.861771
50,52.930610,24.063274
4148,54.487153,22.747587
2100,56.105345,25.392782
2101,52.479698,23.038904
61,52.773253,23.098099
63,51.631894,24.217023
4162,54.811600,23.283958
4163,55.455243,23.700398
2115,54.770399,24.141526
70,54.368025,23.287862
2118,54.660039,23.386836
71,54.929146,24.213651
4168,51.756978,24.105447
74,55.897518,24.226656
2124,52.289159,23.551599
76,55.451020,24.364502
4173,55.249066,24.816254
2126,53.781576,22.885630
78,56.064437,26.000499
2128,54.879323,23.381667
4177,53.700805,23.544342
83,55.316973,23.572958
4181,54.683299,23.124937
85,53.973003,23.619388
4182,55.158934,23.966608
2135,54.675963,23.835432
89,52.963034,24.081714
4186,54.767192,23.370563
91,54.350747,23.019022
2140,52.727379,23.442848
2142,53.891216,23.240948
96,54.459875,22.986333
4192,52.529400,23.840435
2145,53.208417,23.567706
2146,54.040451,23.608803
2148,52.830948,23.115206
4197,54.992539,23.094109
101,52.570438,23.561102
103,55.116543,24.204651
2152,55.528562,24.877267
4200,54.636169,23.505164
2155,55.425588,24.629131
2156,52.960951,23.983883
109,52.929080,23.482823
111,53.489454,22.887354
4208,54.678995,22.684122
116,55.133710,25.051780
2165,54.721684,24.415909
4214,53.923035,23.704254
118,55.868493,25.694701
2167,54.820383,24.577861
2168,55.677577,24.052312
4217,52.077348,23.696798
2170,53.465783,23.298998
4218,53.058828,23.009242
124,52.604780,23.178457
2176,53.064701,23.846909
4224,55.184154,23.499189
134,56.142387,24.984251
138,54.480490,24.503283
4234,54.930166,24.713700
4237,54.602695,24.294464
2189,54.081175,23.960193
4239,54.248056,22.849765
2192,53.030945,23.976393
4240,54.122908,23.578964
144,52.238015,23.736639
4243,54.660222,23.724746
149,55.333831,23.708058
4246,53.827673,23.862136
153,53.192407,23.412839
2201,53.199288,23.316546
4250,54.214240,22.952847
2202,54.953920,24.549253
154,52.568788,24.049614
159,52.790936,23.893835
2208,55.232868,24.547953
162,54.616257,22.706029
164,53.984467,23.083058
4261,53.759479,22.932661
165,53.099542,24.070968
167,52.845899,24.032788
2219,54.501665,23.567419
4269,52.194057,23.670526
2223,51.745130,23.968282
2226,55.330294,24.788416
179,54.627152,24.354016
4281,52.461033,23.337277
4283,54.155351,23.786161
4285,54.195104,23.340283
2239,53.662909,23.025289
4288,54.955930,23.869375
4290,54.563751,23.193887
4293,54.491854,23.364663
2245,55.255692,23.790915
200,54.138270,23.068247
2249,55.269004,24.030194
4298,54.142203,23.991264
206,55.100200,24.273146
2254,52.454513,23.983677
207,55.093647,24.220899
4303,55.747562,24.814198
4305,54.603892,22.765250
4306,55.133628,24.135437
2259,53.016287,23.783278
4310,51.704548,23.962067
4311,54.046162,23.374789
2264,53.246346,23.401134
217,53.475654,23.067175
4314,55.249577,23.933747
2269,56.112452,25.297705
4318,53.065667,23.757062
2270,55.815605,25.078589
2271,54.392681,24.049616
224,53.030028,23.810748
225,55.149618,24.735433
2276,53.813118,23.303613
2277,53.547198,22.812621
229,53.476531,23.160286
232,56.264474,24.988513
2280,55.631758,24.989646
4331,55.396009,25.231881
2286,53.066606,23.464787
2287,55.078891,24.346531
2288,55.808918,24.081392
2290,53.054326,23.383552
243,55.170967,23.985083
2295,53.240160,23.726843
4345,54.560302,23.976383
251,56.031175,25.396728
255,53.284218,22.854831
2304,55.025534,23.064974
2306,54.920141,22.756888
2307,52.758422,23.254562
2309,56.304177,25.510228
4359,55.864323,25.496141
4363,55.041626,23.363225
267,55.743176,25.521661
4364,54.482816,23.213645
269,54.812386,23.930549
2323,54.116267,23.559931
2325,54.924935,24.547992
278,54.455546,22.700890
279,54.651680,24.263253
4375,54.495528,23.032655
2328,55.894097,25.051892
4376,55.632037,25.091007
2329,53.979647,22.902015
