city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Dubai,25.2631,55.2972,United Arab Emirates,AE,Dubayy,admin,3331420,3331420
Abu Dhabi,24.4667,54.3667,United Arab Emirates,AE,AbU Z.aby,primary,1483000,1483000
Sharjah,25.3575,55.3908,United Arab Emirates,AE,Ash Shariqah,admin,1247749,1247749
Al 'Ayn,24.2075,55.7447,United Arab Emirates,AE,AbU Z.aby,,766936,766936
'Ajman,25.4136,55.4456,United Arab Emirates,AE,'Ajman,admin,490035,490035
Ra's al Khaymah,25.7667,55.9500,United Arab Emirates,AE,Ra's al Khaymah,admin,115949,115949
Al Fujayrah,25.1222,56.3344,United Arab Emirates,AE,Al Fujayrah,admin,93673,93673
Umm al Qaywayn,25.5533,55.5475,United Arab Emirates,AE,Umm al Qaywayn,admin,59098,59098
Kalba,25.0742,56.3553,United Arab Emirates,AE,Ash Shariqah,,51000,51000
Khawr Fakkan,25.3333,56.3500,United Arab Emirates,AE,Ash Shariqah,,43223,43223
Madinat Zayid,23.6522,53.6536,United Arab Emirates,AE,AbU Z.aby,,29095,29095
Al Jazirah al hamra',25.7089,55.7972,United Arab Emirates,AE,Ra's al Khaymah,,10190,10190
Masafi,25.3133,56.1628,United Arab Emirates,AE,Ra's al Khaymah,,7637,7637
Badiyah,25.4314,56.3483,United Arab Emirates,AE,Al Fujayrah,,7153,7153
Zubarah,25.4025,56.3614,United Arab Emirates,AE,Al Fujayrah,,3779,3779
Al Faq',24.7133,55.6231,United Arab Emirates,AE,Dubayy,,2291,2291
Ash Sha'm,26.0244,56.0839,United Arab Emirates,AE,Ra's al Khaymah,,1550,1550
Huwaylat,24.8772,56.1733,United Arab Emirates,AE,Ra's al Khaymah,,789,789
Nahwah,25.2683,56.2803,United Arab Emirates,AE,Ash Shariqah,,302,302
Shariyah,24.8151,56.0986,United Arab Emirates,AE,'Ajman,,,
hasat al Bidiyah,25.3273,55.9799,United Arab Emirates,AE,Ash Shariqah,,,
MasfUt,24.8109,56.1066,United Arab Emirates,AE,'Ajman,,,
Qaraytaysah,24.8708,55.5491,United Arab Emirates,AE,Dubayy,,,
Margham,24.8987,55.6240,United Arab Emirates,AE,Dubayy,,,
Qimah,24.7867,56.1414,United Arab Emirates,AE,Dubayy,,,
'Ud al Bayda',25.0162,55.4553,United Arab Emirates,AE,Dubayy,,,
Ferij al Muhadham,25.2875,55.3175,United Arab Emirates,AE,Dubayy,,,
Hunaywah,25.1947,55.5945,United Arab Emirates,AE,Dubayy,,,
sufayri,24.8117,56.1265,United Arab Emirates,AE,'Ajman,,,
'UrqUb Juwayza,24.9333,55.4667,United Arab Emirates,AE,Dubayy,,,
hatta,24.8007,56.1273,United Arab Emirates,AE,Dubayy,,,
Al Lusayli,24.9314,55.4753,United Arab Emirates,AE,Dubayy,,,
hayl,24.7892,56.1146,United Arab Emirates,AE,Dubayy,,,
Warisan,25.1674,55.4071,United Arab Emirates,AE,Dubayy,,,
Mudayfi,25.3617,56.3447,United Arab Emirates,AE,Ash Shariqah,,,
Rafa',25.3470,56.3501,United Arab Emirates,AE,Ash Shariqah,,,
LUlayyah,25.3926,56.3546,United Arab Emirates,AE,Ash Shariqah,,,
Wadi Shi,25.3500,56.3167,United Arab Emirates,AE,Ash Shariqah,,,
Ash Shu'ayb,24.7471,55.8163,United Arab Emirates,AE,Ash Shariqah,,,
hiyawah,25.3604,56.3477,United Arab Emirates,AE,Ash Shariqah,,,
Ar Rufaysah,25.3452,56.3225,United Arab Emirates,AE,Ash Shariqah,,,
Shis,25.2914,56.2455,United Arab Emirates,AE,Ash Shariqah,,,
Al Jazirah,25.3500,55.3667,United Arab Emirates,AE,Ash Shariqah,,,
Al hamriyah,25.4782,55.5338,United Arab Emirates,AE,Ash Shariqah,,,
