id,longitude,latitude
0,53.729294,23.387690
1,53.823932,23.962957
2,55.267160,23.859073
3,55.103852,23.984308
4,52.920254,23.960111
5,54.904800,24.652594
6,53.154593,24.037010
7,55.591174,24.873860
8,54.690555,24.536410
9,53.278713,22.850485
10,53.738636,23.652666
11,55.370815,24.087330
12,54.580489,22.704081
13,52.730781,23.087579
14,56.290994,24.914678
15,52.568297,24.023347
16,53.105286,23.851185
17,54.629286,23.543051
18,53.108406,23.150057
19,54.461807,23.489747
20,55.177246,25.101508
21,55.161635,22.878121
22,54.095893,22.801959
23,55.358790,24.499529
24,53.542476,23.230108
25,54.326213,23.506349
26,54.894724,23.337276
27,52.926287,23.351838
28,55.515582,23.829259
29,54.755669,24.763247
30,55.211456,23.475806
31,55.191972,24.686531
32,54.347007,23.290869
33,52.329458,23.292778
34,54.466708,23.018164
35,53.289206,23.720535
36,55.119558,24.005672
37,54.011291,23.053984
38,54.429412,23.214123
39,53.707918,23.791927
40,53.616395,23.452961
41,55.618165,24.725352
42,54.431831,24.145826
43,53.201979,23.876853
44,54.713995,24.171939
45,56.014831,24.977506
46,54.643646,23.253783
47,54.743684,22.826346
48,55.700115,24.875972
49,54.698433,23.192024
50,56.339341,25.449165
51,54.750740,24.224986
52,52.621783,23.703798
53,54.620850,23.998269
54,55.013892,22.876261
55,53.771174,23.138777
56,54.875744,24.095444
57,55.121592,22.952189
58,51.661038,24.177232
59,55.236530,24.943293
60,56.168928,25.093972
61,54.560272,22.980491
62,54.245773,24.190732
63,55.181077,23.394204
64,55.739213,24.950537
65,51.857796,23.824203
66,53.821393,23.187339
67,54.876025,24.732573
68,56.126016,24.903068
69,56.110078,25.048058
70,53.377353,23.772974
71,54.448083,23.322806
72,55.983456,25.766190
73,53.540935,23.996782
74,53.139164,23.819745
75,55.492322,24.342130
76,53.948995,23.301631
77,54.898931,23.405138
78,53.938486,23.781068
79,54.455420,23.258819
80,53.742846,23.370676
81,55.583698,24.698384
82,52.881828,24.059276
83,54.154175,22.942802
84,55.714160,25.082257
85,55.278266,24.647109
86,55.514294,25.481666
87,55.056097,23.506939
88,53.170449,22.979789
89,54.002471,24.006629
90,52.339299,23.430608
91,52.704906,23.675538
92,55.379976,24.710020
93,54.319029,23.460628
94,52.480365,23.214300
95,52.944376,23.701927
96,55.094645,23.030705
97,53.294287,23.261062
98,53.779923,23.876132
99,54.752675,23.096110
100,52.465581,24.069523
101,55.992917,25.335151
102,53.006407,23.889518
103,52.361782,23.417316
104,54.755881,23.229701
105,51.716678,24.044706
106,55.338839,23.332899
107,55.754705,24.964333
108,54.863518,24.273490
109,53.929298,23.278383
110,53.480081,23.293406
111,52.890980,23.435116
112,53.264661,23.245062
113,52.310338,23.641234
114,55.457248,25.152351
115,55.607415,24.759288
116,56.182072,25.489251
117,53.146185,23.849898
118,52.661587,22.989924
119,52.980627,24.126441
120,55.053280,24.179328
121,54.439378,23.295888
122,55.090315,23.217293
123,55.731178,24.266129
124,54.750060,22.975942
125,52.200161,23.709336
126,55.114089,24.540501
127,55.065000,23.237359
128,52.816460,23.911482
129,55.212896,25.035432
130,52.970401,23.503371
131,54.916634,23.008291
132,55.355773,24.839783
133,51.621147,24.341944
134,51.681255,24.034244
135,53.939467,23.051415
136,53.031652,23.210028
137,55.024671,23.267345
138,55.473222,25.207415
139,55.819480,24.132102
140,55.323191,23.770677
141,55.559103,24.871974
142,54.928962,22.943802
143,52.147276,23.969484
144,54.916580,23.183280
145,53.656006,23.284007
146,54.492037,23.381749
147,54.871943,24.565116
148,53.761711,22.956521
149,54.905722,24.042652
150,54.771110,24.291003
151,53.574160,22.933325
152,55.731880,25.185063
153,52.931060,23.105784
154,53.990871,22.827069
155,53.719354,23.497837
156,53.432027,23.260086
157,52.896354,23.553871
158,55.242984,24.407677
159,56.116789,26.002254
160,52.261099,23.687815
161,55.934369,25.089269
162,54.386286,23.747893
163,53.562519,22.963773
164,55.701763,24.599753
165,55.057220,23.298789
166,53.033302,23.425429
167,52.909728,23.017564
168,54.092739,23.116721
169,53.359267,23.875786
170,55.356433,23.482255
171,52.378904,23.750649
172,54.259934,23.458165
173,52.821103,23.111445
174,54.126207,23.876684
175,55.483803,24.709652
176,54.490923,23.791143
177,53.148712,23.486503
178,54.953399,22.668739
179,53.678352,23.900280
180,54.195384,24.159398
181,52.363269,23.315670
182,55.093563,23.412521
183,54.621302,23.882022
184,55.192890,23.865793
185,55.349727,23.599005
186,55.187530,24.585567
187,52.512832,23.962224
188,53.912778,23.695328
189,51.685085,24.007975
190,55.226501,23.705526
191,52.921830,24.044826
192,55.438893,25.080561
193,54.430475,24.229388
194,53.536027,23.159500
195,53.945255,23.196916
196,52.543691,23.922136
197,52.005968,23.598320
198,55.109226,23.538361
199,52.618659,23.868909
200,53.682583,22.963053
201,55.363020,24.659960
202,53.005596,23.285712
203,55.473422,25.003898
204,56.009898,25.634603
205,54.952977,22.750255
206,55.254080,23.702912
207,53.868433,23.987488
208,55.208333,23.522015
209,53.851894,23.713184
210,55.211820,23.450892
211,52.950481,23.872835
212,53.256003,23.755518
213,55.756864,25.266037
214,52.873731,23.241905
215,53.171826,23.581514
216,53.391539,23.692722
217,51.910292,23.940975
218,53.366442,23.281438
219,55.423522,24.943911
220,55.454473,24.467279
221,54.184858,22.895755
222,53.931381,22.793598
223,52.661861,23.354929
224,52.977655,22.918972
225,55.213620,24.055801
226,52.970834,23.275498
227,52.291270,23.910626
228,54.557243,24.409470
229,55.597802,24.416769
230,55.283517,23.466602
231,55.496993,24.906075
232,55.929779,25.533911
233,53.761899,23.092316
234,53.744871,23.980629
235,53.913359,22.874153
236,53.157724,23.408238
237,52.338356,23.708158
238,53.751848,23.021291
239,55.551399,25.094449
240,53.693759,23.622025
241,53.962962,24.012384
242,55.337296,25.303728
243,53.058041,23.283870
244,54.831527,24.496061
245,54.876539,24.663072
246,55.398647,23.632998
247,52.960282,23.426535
248,54.803539,24.694422
249,56.122130,25.811363
250,55.034750,23.825348
251,54.426699,23.729520
252,54.064347,23.824711
253,53.481964,24.069743
254,53.841528,23.425027
255,55.590143,24.654012
256,52.854734,23.061020
257,53.963303,23.128538
258,55.157829,24.298783
259,56.150778,25.088739
260,54.792332,24.738569
261,52.510171,23.304747
262,55.381403,23.769202
263,54.730602,22.856947
264,56.006342,25.719212
265,52.915964,23.794786
266,52.738244,23.808861
267,53.343308,23.068949
268,54.456032,22.872862
269,54.258823,23.645551
270,55.065378,23.652801
271,54.037415,22.889036
272,55.975654,25.204843
273,55.419156,24.501052
274,54.634295,23.464593
275,55.632147,25.252953
276,55.847363,25.306249
277,55.790497,25.319614
278,55.014615,24.441215
279,52.820409,23.504393
280,54.130520,23.722445
281,53.536614,22.963466
282,52.200168,23.570410
283,54.253148,22.795251
284,55.461941,24.200809
285,52.184437,23.953031
286,55.242550,25.048320
287,52.339148,23.523353
288,55.247714,23.925704
289,52.019996,23.843468
290,55.063187,23.179273
291,54.787533,23.315584
292,52.188602,23.652934
293,53.221158,23.499736
294,53.356432,23.048193
295,54.975727,24.402055
296,53.419653,22.839387
297,53.016150,23.984904
298,54.808254,24.338569
299,55.047197,22.841330
300,52.990572,23.327678
301,56.284796,25.605146
302,52.359383,23.553996
303,53.258550,23.330793
304,53.109421,23.954294
305,54.834368,24.019666
306,54.174600,22.838739
307,53.455747,23.863595
308,55.305920,23.598729
309,55.497856,25.102997
310,52.885196,22.936120
311,55.952865,25.402749
