id,longitude,latitude
4314,53.859310,23.471391
3567,54.153677,23.507912
1140,54.642585,22.989038
349,54.809891,23.918507
1113,54.915669,23.996368
4964,53.480202,23.239758
3829,54.049291,22.922402
3054,53.231573,23.503915
3493,52.678048,23.166680
3557,51.654043,24.186672
2944,52.337269,23.467763
1373,55.418105,24.126881
4064,55.862429,25.298865
2446,53.610673,23.908297
1669,55.502629,25.306154
4654,53.495386,22.974833
2326,56.292560,25.389498
3642,53.363375,23.675562
4645,54.381835,23.044425
1987,55.290276,23.306895
2991,54.932005,24.628332
2054,52.700103,23.886541
2766,55.654381,24.655694
3115,55.216375,24.000254
689,56.019578,25.450127
3850,53.805377,23.875656
95,52.944376,23.701927
1333,54.412575,24.014783
4082,54.212419,23.179533
3125,53.028544,24.118902
583,54.381952,23.895034
2765,53.438935,23.911677
3706,54.777518,24.424155
1460,53.419704,23.565624
392,53.010292,23.812717
4314,53.859310,23.471391
1615,54.447203,23.141270
1638,53.294907,24.042266
961,53.240918,22.953031
57,55.121592,22.952189
3643,55.101484,24.070840
1127,54.635095,23.479898
3170,55.490662,24.165205
4610,54.923232,22.778711
3536,53.848850,23.322517
631,54.125382,22.852858
952,53.896992,23.856942
1485,54.069815,23.823147
1212,52.696452,23.400624
4406,52.145651,23.965615
1904,52.930515,23.811497
280,54.130520,23.722445
3055,52.528498,23.633774
2495,55.109297,24.431121
2224,54.679969,24.107142
368,52.379972,23.194994
3465,52.739731,23.274659
3238,53.221765,23.778627
1361,54.104148,23.114293
2329,53.473459,23.678000
1737,53.896058,23.559313
4647,55.866659,24.181592
1265,55.768617,25.121695
3821,53.539381,23.480774
1240,54.368368,23.760804
2413,55.989092,25.139834
1837,54.075886,24.074314
1365,53.123674,23.700632
467,55.155053,24.195838
1147,53.313947,23.289695
4083,52.141254,23.690745
2206,53.122191,24.036511
2311,52.490550,23.815091
2466,53.500209,23.569124
2397,56.064669,25.781841
2514,52.712748,23.981515
847,54.096721,23.499167
4592,54.253127,23.343611
498,52.590599,23.709376
1818,52.700994,23.522373
3361,54.737772,24.642889
4761,54.435618,22.999881
3406,55.533866,24.674092
1310,54.954052,22.937877
1944,54.077718,23.046514
885,55.252901,24.257718
1850,55.064415,23.377823
2945,54.698078,23.426840
2834,55.803951,25.546834
4902,55.182267,22.758792
1878,54.032865,23.567839
2795,56.290739,25.225944
4265,54.059283,23.718239
3372,55.344517,23.924377
4291,55.280251,24.557209
4652,55.231753,24.746684
694,55.414604,24.081428
926,53.311071,23.573396
2885,53.359345,23.035127
4258,56.310597,25.486736
2985,53.856100,23.144838
3791,55.174219,24.813667
4701,53.187045,23.840453
2088,55.418887,24.754396
3397,55.140399,24.796217
3075,54.621263,23.188187
4493,52.869586,23.004986
3475,52.970956,23.563892
1777,55.293775,23.723484
1261,55.633888,24.056033
2061,54.890092,24.824801
4017,54.760118,24.216737
1682,54.966133,24.683096
