source,target,length
2321,3006,2.593709
3006,4864,2.555880
4864,2321,0.169073
2321,4864,0.169073
2029,4111,3.236075
2235,4111,3.323098
4111,2874,3.462270
2874,2235,2.621807
2235,2321,3.773004
4111,2235,3.323098
2235,2874,2.621807
2874,592,1.220702
592,2235,3.038174
2445,2321,3.145146
2321,2235,3.773004
2235,2445,1.543543
2445,3006,3.351334
3006,2321,2.593709
2321,2445,3.145146
925,2445,1.932177
2445,2235,1.543543
2235,925,3.012130
925,3006,3.917712
3006,2445,3.351334
2445,925,1.932177
3921,3006,4.423340
3006,925,3.917712
925,3921,0.940249
2236,3006,4.665001
3006,3921,4.423340
4535,925,2.019278
925,2235,3.012130
2235,4535,3.993441
4535,2235,3.993441
2235,592,3.038174
592,4535,3.111583
4535,3921,1.662103
3921,925,0.940249
925,4535,2.019278
4344,4535,1.443698
4535,592,3.111583
592,4344,2.566118
1778,592,2.915374
592,2874,1.220702
2874,1778,3.825960
1778,4344,2.844008
4344,592,2.566118
592,1778,2.915374
699,4344,2.692840
4344,1778,2.844008
1778,699,3.210590
2934,4344,3.075181
4344,699,2.692840
699,2934,0.491688
2934,4535,4.000729
4535,4344,1.443698
4344,2934,3.075181
2829,2934,2.319939
2934,699,0.491688
699,2829,2.664498
2829,699,2.664498
699,1778,3.210590
1778,2829,5.187616
159,4535,6.784647
4535,2934,4.000729
2934,159,4.468463
3921,4535,1.662103
4535,159,6.784647
2829,2229,2.171983
159,2934,4.468463
2934,2829,2.319939
159,3837,3.485783
3837,2236,6.204184
2911,3837,2.362087
3837,159,3.485783
2236,3837,6.204184
3837,2911,2.362087
1985,1369,1.862364
1369,2911,4.620112
2911,1985,3.299726
1985,2911,3.299726
159,1985,4.344312
1369,1985,1.862364
1985,159,4.344312
2229,4366,5.592389
2229,2829,2.171983
2829,1778,5.187616
1778,1324,2.849523
4332,1324,3.963710
1324,1778,2.849523
1778,4332,4.590154
4332,1778,4.590154
1778,2874,3.825960
2874,4111,3.462270
4111,2029,3.236075
4720,335,1.429498
335,4332,3.072169
4332,4720,4.145217
4720,4332,4.145217
1260,335,4.245246
335,4720,1.429498
1324,4332,3.963710
335,1260,4.245246
1260,3020,1.292938
4332,335,3.072169
3020,2102,2.630298
4399,3559,1.848873
3559,3555,3.502575
3555,4399,3.438943
4399,3555,3.438943
3707,4204,1.792719
3559,4399,1.848873
1747,4730,5.301783
401,2575,3.740750
4023,3217,4.635823
3599,4990,3.076075
3217,4023,4.635823
4023,4934,3.866310
3603,3599,4.096981
4934,3603,2.515528
3100,3603,3.804184
3603,4934,2.515528
4934,3100,4.414274
3100,4934,4.414274
4934,601,3.740082
601,4934,3.740082
4934,4023,3.866310
4023,601,5.153126
601,286,1.138595
129,4023,5.477903
129,1093,0.597588
1093,286,3.201572
286,129,3.313368
129,286,3.313368
286,601,1.138595
601,129,3.237313
129,601,3.237313
601,4023,5.153126
4023,129,5.477903
2575,2864,1.749729
2864,2575,1.749729
2575,4730,3.518980
4730,2864,3.498576
2864,4730,3.498576
4730,1747,5.301783
1747,2864,3.769809
1702,129,1.088616
1702,1093,0.790871
1093,129,0.597588
129,1702,1.088616
898,1093,1.287968
1093,1702,0.790871
1702,898,0.783090
657,898,0.229432
898,1702,0.783090
1702,657,0.626577
3105,657,1.186523
657,1702,0.626577
1702,3105,1.754974
3105,1702,1.754974
2864,3105,5.369385
3105,2864,5.369385
2864,1747,3.769809
3105,898,1.188199
898,657,0.229432
657,3105,1.186523
1628,3105,1.845400
1747,1628,3.949788
342,3105,2.754412
3105,1628,1.845400
1628,342,1.704317
342,898,3.591843
898,3105,1.188199
3105,342,2.754412
4325,1093,3.137692
1093,898,1.287968
898,4325,3.410227
4325,286,1.974827
286,1093,3.201572
1093,4325,3.137692
2804,286,2.194000
286,4325,1.974827
4325,2804,1.026595
4625,2804,1.734542
2804,4325,1.026595
4325,4625,2.025356
1713,4625,1.569735
4625,4325,2.025356
4325,1713,3.010762
1713,4325,3.010762
4325,898,3.410227
898,1713,4.494264
1713,898,4.494264
898,342,3.591843
342,1713,3.710588
1845,4625,0.826215
4625,1713,1.569735
1713,1845,1.408867
3277,1845,3.448716
1845,1713,1.408867
1713,3277,2.987441
20,3277,3.216855
3277,1713,2.987441
1713,342,3.710588
342,20,3.049264
20,342,3.049264
342,1628,1.704317
1628,20,4.607156
20,1628,4.607156
1628,1747,3.949788
2546,3277,5.334277
3277,20,3.216855
3277,2546,5.334277
2546,2938,3.476813
2938,1101,2.699571
1845,3277,3.448716
3581,4625,3.090260
4625,1845,0.826215
1845,3581,3.148458
3581,2804,2.881264
2804,4625,1.734542
4625,3581,3.090260
3581,1845,3.148458
3581,286,4.521133
286,2804,2.194000
2804,3581,2.881264
286,3581,4.521133
3240,4320,3.893527
3240,3149,3.238163
3149,4320,2.132216
4320,3240,3.893527
1843,3240,4.382081
2486,1843,1.782432
2486,2394,3.607729
2394,4953,2.822150
1843,2486,1.782432
3149,4260,5.358499
4260,3149,5.358499
3149,3240,3.238163
4953,4260,1.540776
3240,1843,4.382081
509,780,4.787778
780,114,2.164598
114,509,4.114295
780,509,4.787778
4260,4953,1.540776
4512,2742,3.737488
192,4512,2.536157
509,192,4.086139
2742,4512,3.737488
192,4892,6.554937
4892,3728,0.925398
4512,192,2.536157
4692,3728,2.012118
3728,4892,0.925398
4892,4692,2.512389
3729,3728,2.929781
3728,4692,2.012118
4692,3729,1.330181
3728,3729,2.929781
3962,3149,5.714036
3962,4320,4.128205
4320,3149,2.132216
3149,3962,5.714036
579,4320,4.844376
4320,3962,4.128205
3962,579,1.774734
579,3100,4.289212
4320,579,4.844376
579,3603,2.550452
3603,3100,3.804184
3100,579,4.289212
579,3599,5.061800
3599,3603,4.096981
3603,579,2.550452
510,3962,1.276981
510,579,1.649625
579,3962,1.774734
3962,510,1.276981
3599,579,5.061800
579,510,1.649625
2471,3729,5.034624
3729,4692,1.330181
4692,2471,5.157554
3729,2471,5.034624
2471,4692,5.157554
4692,4892,2.512389
4892,871,5.254901
3994,2471,1.879153
871,3994,4.049093
3994,219,1.365573
219,2471,1.759629
2471,3994,1.879153
4043,219,1.948172
219,3994,1.365573
3994,4043,0.945660
4043,3994,0.945660
3994,871,4.049093
871,4043,3.906548
203,871,2.955072
871,4892,5.254901
871,203,2.955072
4892,192,6.554937
3201,4059,4.677945
4059,1753,2.760205
1753,3201,2.694950
4059,3201,4.677945
3201,4752,5.290890
4504,3201,3.000114
3201,1753,2.694950
1753,4504,3.972231
4504,4752,5.204451
4752,3201,5.290890
3201,4504,3.000114
4986,793,1.165921
793,4504,2.647253
4504,4986,3.343295
4986,4504,3.343295
4504,1753,3.972231
1753,4986,3.078744
2062,793,3.611764
793,4986,1.165921
793,2062,3.611764
2062,4912,2.267579
4504,793,2.647253
3595,2288,3.998763
2288,786,4.390653
786,3595,0.832201
624,107,4.348244
107,64,2.189166
64,624,4.703671
624,64,4.703671
64,786,3.468723
786,624,4.048183
624,786,4.048183
786,2288,4.390653
4107,519,5.210965
2288,4669,3.979310
4669,2288,3.979310
696,4669,3.603422
4912,2062,2.267579
3910,696,1.888161
3954,4669,5.230581
4669,696,3.603422
1475,3954,4.637417
696,3910,1.888161
4669,2386,5.099126
